EVENT_ID_NO,PALABRA_LIMPIA,PALABRA_ORIGINAL,POSICION,SENTIMIENTO_PALABRA,INTENSIFICADOR,Negadores,ADM,ROMPEDOR_F,row_result
F140142041216_10154263372006217no,DIVERTIRSE,divertirse,4.0,0.0,0.0,0.0,0.0,0.0,0.0
F140142041216_10154263372006217no,EN,en,5.0,0.0,0.0,0.0,0.0,0.0,0.0
F140142041216_10154263372006217no,FAMILIA,"familia?,",6.0,0.0,0.0,0.0,0.0,1.0,0.0
F140142041216_10154263372006217no,DEJA,¡deja,7.0,0.0,0.0,0.0,0.0,1.0,0.0
F140142041216_10154263372006217no,DE,de,8.0,0.0,0.0,0.0,0.0,0.0,0.0
F140142041216_10154263372006217no,HACER,hacer,9.0,0.0,0.0,0.0,0.0,0.0,0.0
F140142041216_10154263372006217no,MALABARES,malabares,10.0,0.0,0.0,0.0,0.0,0.0,0.0
F140142041216_10154263372006217no,Y,y,11.0,0.0,0.0,0.0,2.0,1.0,0.0
F140142041216_10154263372006217no,MEJOR,mejor,12.0,0.0,1.75,0.0,2.0,0.0,0.0
F140142041216_10154263372006217no,ASISTE,asiste,13.0,0.0,1.75,0.0,2.0,0.0,0.0
F140142041216_10154263372006217no,A,a,14.0,0.0,1.75,0.0,2.0,0.0,0.0
F140142041216_10154263372006217no,ESTE,este,15.0,0.0,1.75,0.0,2.0,0.0,0.0
F140142041216_10154263372006217no,DIVERTIDO,divertido,16.0,1.0,1.75,0.0,2.0,0.0,3.5
F140142041216_10154263372006217no,EVENTO,evento,17.0,0.0,1.75,0.0,2.0,0.0,0.0
F140142041216_10154263372006217no,EN,en,18.0,0.0,1.75,0.0,2.0,0.0,0.0
F140142041216_10154263372006217no,GALERÍAS,Galerías,19.0,0.0,1.75,0.0,2.0,0.0,0.0
F140142041216_10154263372006217no,SAN,San,20.0,0.0,1.75,0.0,2.0,0.0,0.0
F140142041216_10154263372006217no,JUAN,Juan,21.0,0.0,1.75,0.0,2.0,0.0,0.0
F140142041216_10154263372006217no,DEL,del,22.0,0.0,1.75,0.0,2.0,0.0,0.0
F140142041216_10154263372006217no,RÍO,Río!,23.0,0.0,1.75,0.0,2.0,0.0,0.0
F140142041216_10154263372006217no,#EVENTOSGALERÍAS,#EventosGalerías.,24.0,0.0,0.0,0.0,0.0,1.0,0.0
T759985792609419268no,RT,RT,0.0,0.0,0.0,0.0,2.0,0.0,0.0
T759985792609419268no,@RENE_RENTERIA:,@Rene_Renteria:,1.0,0.0,0.0,0.0,2.0,0.0,0.0
T759985792609419268no,@ZAHIETELLEZ,@zahietellez,2.0,0.0,0.0,0.0,2.0,0.0,0.0
T759985792609419268no,@LIVERPOOLMEXICO,@liverpoolmexico,3.0,0.0,0.0,0.0,2.0,0.0,0.0
T759985792609419268no,ÉXITO,éxito,4.0,1.0,0.0,0.0,2.0,0.0,2.0
T759985792609419268no,CHEF,Chef,5.0,0.0,0.0,0.0,2.0,0.0,0.0
T759985792609419268no,,!!!,6.0,0.0,0.0,0.0,2.0,0.0,0.0
T759985761609510913no,@ZAHIETELLEZ,@zahietellez,0.0,0.0,0.0,0.0,2.0,0.0,0.0
T759985761609510913no,@LIVERPOOLMEXICO,@liverpoolmexico,1.0,0.0,0.0,0.0,2.0,0.0,0.0
T759985761609510913no,ÉXITO,éxito,2.0,1.0,0.0,0.0,2.0,0.0,2.0
T759985761609510913no,CHEF,Chef,3.0,0.0,0.0,0.0,2.0,0.0,0.0
T759985761609510913no,,!!!,4.0,0.0,0.0,0.0,2.0,0.0,0.0
T759985670022574080no,TODAS,Todas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T759985670022574080no,NUESTRAS,nuestras,1.0,0.0,0.0,0.0,0.0,0.0,0.0
T759985670022574080no,TRADICIONES,tradiciones,2.0,0.0,0.0,0.0,0.0,0.0,0.0
T759985670022574080no,Y,y,3.0,0.0,0.0,0.0,0.0,1.0,0.0
T759985670022574080no,CULTURA,cultura,4.0,0.0,0.0,0.0,0.0,0.0,0.0
T759985670022574080no,ESTÁN,están,5.0,0.0,0.0,0.0,0.0,0.0,0.0
T759985670022574080no,EN,en,6.0,0.0,0.0,0.0,0.0,0.0,0.0
T759985670022574080no,GALERÍAS,Galerías,7.0,0.0,0.0,0.0,0.0,0.0,0.0
T759985670022574080no,CUERNAVACA,Cuernavaca.,8.0,0.0,0.0,0.0,0.0,1.0,0.0
T759985670022574080no,VEN,¡Ven,9.0,0.0,0.0,0.0,0.0,1.0,0.0
T759985670022574080no,Y,y,10.0,0.0,0.0,0.0,2.0,1.0,0.0
T759985670022574080no,PASA,pasa,11.0,0.0,0.0,0.0,2.0,0.0,0.0
T759985670022574080no,UNA,una,12.0,0.0,0.0,0.0,2.0,0.0,0.0
T759985670022574080no,DIVERTIDA,divertida,13.0,1.0,0.0,0.0,2.0,0.0,2.0
T759985670022574080no,TARDE,tarde!,14.0,0.0,0.0,0.0,2.0,0.0,0.0
T759985670022574080no,#EVENTOSGALERÍAS,#EventosGalerías.,15.0,0.0,0.0,0.0,0.0,1.0,0.0
T759985624623357952no,GALERÍAS,Galerías,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T759985624623357952no,METEPEC,Metepec,1.0,0.0,0.0,0.0,0.0,0.0,0.0
T759985624623357952no,ES,es,2.0,0.0,0.0,0.0,0.0,0.0,0.0
T759985624623357952no,MÁS,más,3.0,0.0,1.5,0.0,0.0,0.0,0.0
T759985624623357952no,QUE,que,4.0,0.0,1.5,0.0,0.0,0.0,0.0
T759985624623357952no,UN,un,5.0,0.0,1.5,0.0,0.0,0.0,0.0
T759985624623357952no,CENTRO,Centro,6.0,0.0,1.5,0.0,0.0,0.0,0.0
T759985624623357952no,COMERCIAL,Comercial.,7.0,0.0,0.0,0.0,0.0,1.0,0.0
T759985624623357952no,TRAE,¡Trae,8.0,0.0,0.0,0.0,0.0,1.0,0.0
T759985624623357952no,A,a,9.0,0.0,0.0,0.0,0.0,0.0,0.0
T759985624623357952no,TUS,tus,10.0,0.0,0.0,0.0,0.0,0.0,0.0
T759985624623357952no,PEQUEÑOS,pequeños,11.0,0.0,0.0,0.0,0.0,0.0,0.0
T759985624623357952no,A,a,12.0,0.0,0.0,0.0,0.0,0.0,0.0
T759985624623357952no,ESTE,este,13.0,0.0,0.0,0.0,0.0,0.0,0.0
T759985624623357952no,INCREÍBLE,increíble,14.0,0.0,0.0,0.0,0.0,0.0,0.0
T759985624623357952no,MINICURSO,minicurso,15.0,0.0,0.0,0.0,0.0,0.0,0.0
T759985624623357952no,Y,y,16.0,0.0,0.0,0.0,2.0,1.0,0.0
T759985624623357952no,DESARROLLA,desarrolla,17.0,0.0,0.0,0.0,2.0,0.0,0.0
T759985624623357952no,SUS,sus,18.0,0.0,0.0,0.0,2.0,0.0,0.0
T759985624623357952no,HABILIDADES,habilidades,19.0,0.0,0.0,0.0,2.0,0.0,0.0
T759985624623357952no,DE,de,20.0,0.0,0.0,0.0,2.0,0.0,0.0
T759985624623357952no,MANERA,manera,21.0,0.0,0.0,0.0,2.0,0.0,0.0
T759985624623357952no,DIVERTIDA,divertida!,22.0,1.0,0.0,0.0,2.0,0.0,2.0
T759985624623357952no,#EVENTOSGALERÍAS,#EventosGalerías.,23.0,0.0,0.0,0.0,0.0,1.0,0.0
T759981995833167872no,MUY,Muy,0.0,0.0,1.75,0.0,2.0,0.0,0.0
T759981995833167872no,BIEN,bien!,1.0,0.5,1.75,0.0,2.0,0.0,1.75
T759981995833167872no,OJALÁ,Ojalá,2.0,0.0,1.75,0.0,2.0,0.0,0.0
T759981995833167872no,QUE,que,3.0,0.0,1.75,0.0,2.0,0.0,0.0
T759981995833167872no,LOS,los,4.0,0.0,1.75,0.0,2.0,0.0,0.0
T759981995833167872no,MORELIANOS,Morelianos,5.0,0.0,1.75,0.0,2.0,0.0,0.0
T759981995833167872no,SEPAN,sepan,6.0,0.0,1.75,0.0,2.0,0.0,0.0
T759981995833167872no,VALORAR,valorar,7.0,0.0,1.75,0.0,2.0,0.0,0.0
T759981995833167872no,ESTOS,estos,8.0,0.0,1.75,0.0,2.0,0.0,0.0
T759981995833167872no,ESFUERZOS,esfuerzos!.,9.0,0.0,0.0,0.0,2.0,1.0,0.0
T759977694230491138no,RT,RT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T759977694230491138no,@SADI_HCANELA:,@Sadi_HCanela:,1.0,0.0,0.0,0.0,0.0,0.0,0.0
T759977694230491138no,@CD9,@CD9,2.0,0.0,0.0,0.0,0.0,0.0,0.0
T759977694230491138no,@RADIODISNEYMX,@RadioDisneyMX,3.0,0.0,0.0,0.0,0.0,0.0,0.0
T759977694230491138no,@GALERIASLAG,@GaleriasLag,4.0,0.0,0.0,0.0,0.0,0.0,0.0
T759977694230491138no,@DIGITAL1029,@digital1029,5.0,0.0,0.0,0.0,0.0,0.0,0.0
T759977694230491138no,MUCHO,mucho,6.0,0.0,1.75,0.0,0.0,0.0,0.0
T759977694230491138no,ÉXITO,"éxito,",7.0,1.0,0.0,0.0,0.0,1.0,1.0
T759977694230491138no,LO,lo,8.0,0.0,0.0,0.0,0.0,0.0,0.0
T759977694230491138no,HARAN,haran,9.0,0.0,0.0,0.0,0.0,0.0,0.0
T759977694230491138no,PERFECTO,perfecto,10.0,0.0,0.0,0.0,0.0,0.0,0.0
T759977587384823808no,@CD9,@CD9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T759977587384823808no,@RADIODISNEYMX,@RadioDisneyMX,1.0,0.0,0.0,0.0,0.0,0.0,0.0
T759977587384823808no,@GALERIASLAG,@GaleriasLag,2.0,0.0,0.0,0.0,0.0,0.0,0.0
T759977587384823808no,@DIGITAL1029,@digital1029,3.0,0.0,0.0,0.0,0.0,0.0,0.0
T759977587384823808no,MUCHO,mucho,4.0,0.0,1.75,0.0,0.0,0.0,0.0
T759977587384823808no,ÉXITO,"éxito,",5.0,1.0,0.0,0.0,0.0,1.0,1.0
T759977587384823808no,LO,lo,6.0,0.0,0.0,0.0,0.0,0.0,0.0
T759977587384823808no,HARAN,haran,7.0,0.0,0.0,0.0,0.0,0.0,0.0
T759977587384823808no,PERFECTO,perfecto,8.0,0.0,0.0,0.0,0.0,0.0,0.0
T759975162355806208no,BRENDA,Brenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T759975162355806208no,ANAHÍ,Anahí,1.0,0.0,0.0,0.0,0.0,0.0,0.0
T759975162355806208no,SUAREZ,Suarez,2.0,0.0,0.0,0.0,0.0,0.0,0.0
T759975162355806208no,ADAME,Adame,3.0,0.0,0.0,0.0,0.0,0.0,0.0
T759975162355806208no,POR,por,4.0,0.0,0.0,0.0,0.0,0.0,0.0
T759975162355806208no,FAVOR,favor,5.0,0.0,0.0,0.0,0.0,0.0,0.0
T759975162355806208no,YO,yo,6.0,0.0,0.0,0.0,0.0,0.0,0.0
T759975162355806208no,QUIERO,quiero,7.0,0.0,0.0,0.0,0.0,0.0,0.0
T759975162355806208no,MUCHO,mucho,8.0,0.0,1.75,0.0,0.0,0.0,0.0
T759975162355806208no,A,a,9.0,0.0,1.75,0.0,0.0,0.0,0.0
T759975162355806208no,CD9,CD9,10.0,0.0,1.75,0.0,0.0,0.0,0.0
T759975162355806208no,Y,y,11.0,0.0,0.0,0.0,0.0,1.0,0.0
T759975162355806208no,HE,he,12.0,0.0,0.0,0.0,0.0,0.0,0.0
T759975162355806208no,SOÑADO,soñado,13.0,0.0,0.0,0.0,0.0,0.0,0.0
T759975162355806208no,CON,con,14.0,0.0,0.0,0.0,0.0,0.0,0.0
T759975162355806208no,CONOCERLOS,conocerlos,15.0,0.0,0.0,0.0,0.0,0.0,0.0
T759975162355806208no,PORFAVOR,porfavor,16.0,0.0,0.0,0.0,0.0,0.0,0.0
T759975162355806208no,ME,me,17.0,0.0,0.0,0.0,0.0,0.0,0.0
T759975162355806208no,HARÍAN,harían,18.0,0.0,0.0,0.0,0.0,0.0,0.0
T759975162355806208no,MUY,muy,19.0,0.0,1.75,0.0,0.0,0.0,0.0
T759975162355806208no,FELIZ,feliz,20.0,1.0,1.75,0.0,0.0,0.0,1.75
T759975162355806208no,SI,si,21.0,0.0,1.75,0.0,0.0,0.0,0.0
T759975162355806208no,ME,me,22.0,0.0,1.75,0.0,0.0,0.0,0.0
T759975162355806208no,NOMBRAN,nombran.,23.0,0.0,0.0,0.0,0.0,1.0,0.0
T759972789235220480no,RT,RT,0.0,0.0,0.0,0.0,2.0,0.0,0.0
T759972789235220480no,@APOYOVIAL:,@ApoyoVial:,1.0,0.0,0.0,0.0,2.0,0.0,0.0
T759972789235220480no,MUY,Muy,2.0,0.0,1.75,0.0,2.0,0.0,0.0
T759972789235220480no,BIEN,bien,3.0,0.5,1.75,0.0,2.0,0.0,1.75
T759972789235220480no,PONER,poner,4.0,0.0,1.75,0.0,2.0,0.0,0.0
T759972789235220480no,POLICÍA,policía,5.0,0.0,1.75,0.0,2.0,0.0,0.0
T759972789235220480no,AGILIZANDO,agilizando,6.0,0.0,1.75,0.0,2.0,0.0,0.0
T759972789235220480no,ENTRADA,entrada,7.0,0.0,1.75,0.0,2.0,0.0,0.0
T759972789235220480no,PERISUR,Perisur,8.0,0.0,1.75,0.0,2.0,0.0,0.0
T759972789235220480no,FRENTE,frente,9.0,0.0,1.75,0.0,2.0,0.0,0.0
T759972789235220480no,A,a,10.0,0.0,1.75,0.0,2.0,0.0,0.0
T759972789235220480no,PSIQUIATRÍA,Psiquiatría!,11.0,0.0,1.75,0.0,2.0,0.0,0.0
T759972789235220480no,,,12.0,0.0,1.75,0.0,0.0,0.0,0.0
T759972789235220480no,FELICIDADES,Felicidades!,13.0,0.0,1.75,0.0,2.0,0.0,0.0
T759972789235220480no,VÍA,Vía,14.0,0.0,1.75,0.0,0.0,0.0,0.0
T759972789235220480no,,,15.0,0.0,1.75,0.0,0.0,0.0,0.0
T759972789235220480no,@SUNNYCAAL,@Sunnycaal,16.0,0.0,1.75,0.0,0.0,0.0,0.0
T759969342570192897no,MUY,Muy,0.0,0.0,1.75,0.0,2.0,0.0,0.0
T759969342570192897no,BIEN,bien,1.0,0.5,1.75,0.0,2.0,0.0,1.75
T759969342570192897no,PONER,poner,2.0,0.0,1.75,0.0,2.0,0.0,0.0
T759969342570192897no,POLICÍA,policía,3.0,0.0,1.75,0.0,2.0,0.0,0.0
T759969342570192897no,AGILIZANDO,agilizando,4.0,0.0,1.75,0.0,2.0,0.0,0.0
T759969342570192897no,ENTRADA,entrada,5.0,0.0,1.75,0.0,2.0,0.0,0.0
T759969342570192897no,PERISUR,Perisur,6.0,0.0,1.75,0.0,2.0,0.0,0.0
T759969342570192897no,FRENTE,frente,7.0,0.0,1.75,0.0,2.0,0.0,0.0
T759969342570192897no,A,a,8.0,0.0,1.75,0.0,2.0,0.0,0.0
T759969342570192897no,PSIQUIATRÍA,Psiquiatría!,9.0,0.0,1.75,0.0,2.0,0.0,0.0
T759969342570192897no,,,10.0,0.0,1.75,0.0,0.0,0.0,0.0
T759969342570192897no,FELICIDADES,Felicidades!,11.0,0.0,1.75,0.0,2.0,0.0,0.0
T759969342570192897no,VÍA,Vía,12.0,0.0,1.75,0.0,0.0,0.0,0.0
T759969342570192897no,,,13.0,0.0,1.75,0.0,0.0,0.0,0.0
T759969342570192897no,@SUNNYCAAL,@Sunnycaal,14.0,0.0,1.75,0.0,0.0,0.0,0.0
T759968676435013633no,LA,La,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T759968676435013633no,MEJOR,mejor,1.0,0.0,1.75,0.0,0.0,0.0,0.0
T759968676435013633no,DIVERSIÓN,diversión,2.0,1.0,1.75,0.0,0.0,0.0,1.75
T759968676435013633no,EN,en,3.0,0.0,1.75,0.0,0.0,0.0,0.0
T759968676435013633no,FAMILIA,familia,4.0,0.0,1.75,0.0,0.0,0.0,0.0
T759968676435013633no,LA,la,5.0,0.0,1.75,0.0,0.0,0.0,0.0
T759968676435013633no,TENEMOS,tenemos,6.0,0.0,1.75,0.0,0.0,0.0,0.0
T759968676435013633no,EN,en,7.0,0.0,1.75,0.0,0.0,0.0,0.0
T759968676435013633no,GALERÍAS,Galerías,8.0,0.0,1.75,0.0,0.0,0.0,0.0
T759968676435013633no,MÉRIDA,Mérida.,9.0,0.0,0.0,0.0,0.0,1.0,0.0
T759968676435013633no,CHECA,Checa,10.0,0.0,0.0,0.0,0.0,0.0,0.0
T759968676435013633no,LOS,los,11.0,0.0,0.0,0.0,0.0,0.0,0.0
T759968676435013633no,EVENTOS,eventos,12.0,0.0,0.0,0.0,0.0,0.0,0.0
T759968676435013633no,QUE,que,13.0,0.0,0.0,0.0,0.0,0.0,0.0
T759968676435013633no,TENEMOS,tenemos,14.0,0.0,0.0,0.0,0.0,0.0,0.0
T759968676435013633no,PARA,para,15.0,0.0,0.0,0.0,0.0,1.0,0.0
T759968676435013633no,TI,ti..,16.0,0.0,0.0,0.0,0.0,1.0,0.0
T759967661304406016no,BUEN,Buen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T759967661304406016no,DIA,dia,1.0,0.0,0.0,0.0,0.0,0.0,0.0
T759967661304406016no,MUCHO,mucho,2.0,0.0,1.75,0.0,0.0,0.0,0.0
T759967661304406016no,ÉXITO,éxito...,3.0,1.0,0.0,0.0,0.0,1.0,1.0
T759966181054750721no,@GUS_RODRIGUEZMX,@Gus_Rodriguezmx,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T759966181054750721no,@SONYXPERIAMX,@sonyxperiamx,1.0,0.0,0.0,0.0,0.0,0.0,0.0
T759966181054750721no,SI,si,2.0,0.0,0.0,0.0,0.0,0.0,0.0
T759966181054750721no,JAIME,Jaime,3.0,0.0,0.0,0.0,0.0,0.0,0.0
T759966181054750721no,MUY,muy,4.0,0.0,1.75,0.0,0.0,0.0,0.0
T759966181054750721no,CHINGON,"Chingon,",5.0,0.5,0.0,0.0,0.0,1.0,0.5
T759966181054750721no,,,6.0,0.0,0.0,0.0,0.0,0.0,0.0
T759966181054750721no,EN,en,7.0,0.0,0.0,0.0,0.0,0.0,0.0
T759966181054750721no,PERISUR,perisur,8.0,0.0,0.0,0.0,0.0,0.0,0.0
T759966181054750721no,TE,te,9.0,0.0,0.0,0.0,0.0,0.0,0.0
T759966181054750721no,DE,de,10.0,0.0,0.0,0.0,0.0,0.0,0.0
T759966181054750721no,LO,lo,11.0,0.0,0.0,0.0,0.0,0.0,0.0
T759966181054750721no,DAN,dan,12.0,0.0,0.0,0.0,0.0,0.0,0.0
T759966181054750721no,EN,en,13.0,0.0,0.0,0.0,0.0,0.0,0.0
T759966181054750721no,45000,450.00,14.0,0.0,0.0,0.0,2.0,1.0,0.0
T759966181054750721no,,,15.0,0.0,0.0,0.0,2.0,0.0,0.0
T759966181054750721no,,,16.0,0.0,0.0,0.0,2.0,0.0,0.0
T759966181054750721no,JAJAJAJA,jajajaja,17.0,0.0,0.0,0.0,2.0,0.0,0.0
T759966181054750721no,SIN,sin,18.0,0.0,0.0,-1.0,2.0,0.0,0.0
T759966181054750721no,PALABRAS,palabras,19.0,0.0,0.0,-1.0,2.0,0.0,0.0
T759966181054750721no,,!!!!,20.0,0.0,0.0,-1.0,2.0,0.0,0.0
T759965440495849472no,ESTAMOS,Estamos,0.0,0.0,0.0,0.0,2.0,0.0,0.0
T759965440495849472no,MUY,muy,1.0,0.0,1.75,0.0,2.0,0.0,0.0
T759965440495849472no,CONTENTOS,contentos!,2.0,0.5,1.75,0.0,2.0,0.0,1.75
T759965440495849472no,YA,Ya,3.0,0.0,1.75,0.0,2.0,0.0,0.0
T759965440495849472no,ESTAMOS,estamos,4.0,0.0,1.75,0.0,2.0,0.0,0.0
T759965440495849472no,EN,en,5.0,0.0,1.75,0.0,2.0,0.0,0.0
T759965440495849472no,LEÓN,León,6.0,0.0,1.75,0.0,2.0,0.0,0.0
T759965440495849472no,GUANAJUATO,Guanajuato!,7.0,0.0,1.75,0.0,2.0,0.0,0.0
T759965440495849472no,,,8.0,0.0,1.75,0.0,0.0,0.0,0.0
T759965440495849472no,VEN,Ven,9.0,0.0,1.75,0.0,0.0,0.0,0.0
T759965440495849472no,A,a,10.0,0.0,1.75,0.0,0.0,0.0,0.0
T759965440495849472no,PROBAR,probar,11.0,0.0,1.75,0.0,0.0,0.0,0.0
T759965440495849472no,#MEZCAL3PUEBLOS,#Mezcal3Pueblos,12.0,0.0,1.75,0.0,0.0,0.0,0.0
T759965440495849472no,Y,y,13.0,0.0,0.0,0.0,0.0,1.0,0.0
