a	IN
aire	NN
aislada	JJ
aislado	JJ
aislamiento	NN
ajedrez	NN
ajo	NN
ajuste	NN
alabanza	NN
alabar	VB
alacrán	NN
alambre	NN
alargada	JJ
alargado	JJ
alargar	VB
alarido	NN
alarma	NN
albahaca	NN
albañil	NN
albaricoque	NN
albornoz	NN
álbum	NN
alcachofa	NN
alcalde	NN
alcaldesa	NN
alcantarilla	NN
alcanzar	VB
alcázar	NN
alce	NN
alcohol	NN
aldea	NN
alegrarse	VB
alegre	JJ
alegría	NN
alejar	VB
alemán	JJ
alemana	JJ
Alemania	NNP
alentar	VB
alergia	NN
alérgica	JJ
alérgico	JJ
alerta	NN
alertar	VB
aleta	NN
aletear	VB
alfabeto	NN
alfanje	NN
alfiler	NN
alfombra	NN
álgebra	NN
algodón	NN
alimentación	NN
alimentar	VB
alistar	VB
aliviar	VB
allí	RB
alma	NN
almacén	NN
almanaque	NN
almeja	NN
almidón	NN
almohada	NN
almohadilla	NN
almohadón	NN
almorzar	VB
almuerzo	NN
alocada	JJ
alocado	JJ
alojamiento	NN
alojar	VB
alpaca	NN
alquilar	VB
alquitrán	NN
alrededor	RB
alta	JJ
altar	NN
altavoz	NN
alterar	VB
alternativa	JJ
alternativo	JJ
alto	JJ
altura	NN
aluminio	NN
ama	NN
amabilidad	NN
amable	JJ
amaestrar	VB
amamantar	VB
amanecer	NN
amarga	JJ
amargo	JJ
amarilla	JJ
amarillo	JJ
amarrar	VB
amatista	NN
Amazonia	NNP
ambas	JJ
ambiciosa	JJ
ambicioso	JJ
ambidextra	JJ
ambidextro	JJ
ambiente	NN
ambigua	JJ
ambigüedad	NN
ambiguo	JJ
ambos	JJ
ambulancia	NN
ambulante	JJ
amenaza	NN
amenazante	JJ
amenazar	VB
América	NNP
amiga	NN
amígdala	NN
amigdalitis	NN
amigo	NN
amistad	NN
amo	NN
amontonar	VB
amor	NN
amorfa	JJ
amorfo	JJ
amortiguador	NN
amotinamiento	NN
amotinarse	VB
amplia	JJ
ampliar	VB
amplificación	NN
amplificador	NN
amplio	JJ
ampolleta	NN
amuleto	NN
añadidura	RB
añadir	VB
análisis	NN
analizar	VB
anarquía	NN
anatomía	NN
ancha	JJ
ancho	JJ
anciana	JJ
anciano	JJ
ancla	NN
andar	VB
aneurisma	NN
anfitrión	NN
anfitriona	NN
ángel	NN
ángulo	NN
angustia	NN
anhelar	VB
anillo	NN
animación	NN
animada	JJ
animado	JJ
animador	NN
animadora	NN
animal	NN
animales	NNS
animar	VB
aniquilar	VB
aniversario	NN
ano	NN
año	NN
anoche	RB
anochecer	NN
anolar	VB
anoréxica	JJ
anoréxico	JJ
anormal	JJ
antártica	JJ
antártico	JJ
Antártida	NNP
antebrazo	NN
antena	NN
anteojos	NNS
antepasadas	NNS
antepasados	NNS
anteproyecto	NN
anterior	JJ
anteriormente	RB
antes	RB
antialérgica	JJ
antialérgico	JJ
antibiótico	NN
anticipar	VB
anticuario	NN
antidepresivo	NN
antigua	JJ
antiguo	JJ
antihistamínico	NN
antílope	NN
antimonio	NN
antipática	JJ
antipático	JJ
antorcha	NN
antropoide	JJ
antropóloga	NN
antropología	NN
antropólogo	NN
anuario	NN
anular	VB
anunciar	VB
anuncio	NN
apagada	JJ
apagado	JJ
apagar	VB
aparato	NN
aparcamiento	NN
aparcar	VB
aparecer	VB
aparición	NN
apariencia	NN
apartamento	NN
apasionada	JJ
apasionado	JJ
apellido	NN
apenas	RB
apéndice	NN
apendicitis	NN
aperitivo	NN
apestar	VB
apio	NN
aplastante	JJ
aplastar	VB
aplaudir	VB
aplauso	NN
aplicar	VB
aporrear	VB
apostar	VB
apóstol	NN
apóstrofo	NN
apoyar	VB
apoyarse	VB
apoyo	NN
apreciar	VB
aprender	VB
aprendizaje	NN
apresurar	VB
apretada	JJ
apretado	JJ
apretar	VB
aprobación	NN
aprobar	VB
apropiada	JJ
apropiado	JJ
aprovechar	VB
aproximadamente	RB
apuesta	NN
apuñalar	VB
apuntalar	VB
aquí	RB
árabe	JJ
araña	NN
arañar	VB
arañazo	NN
arándano	NN
árbitra	NN
arbitraria	JJ
arbitrario	JJ
árbitro	NN
árbol	NN
arbusto	NN
arcana	JJ
arcano	JJ
arce	NN
archivar	VB
archivo	NN
arcilla	NN
arco	NN
ardilla	NN
área	NN
arena	NN
arete	NN
Argentina	NNP
argentina	JJ
Argentina	NNP
argentino	JJ
argón	NN
argumento	NN
aries	NN
arma	NN
armadura	NN
armario	NN
armonía	NN
armónica	NN
aro	NN
arpa	NN
arqueóloga	NN
arqueología	NN
arqueólogo	NN
arquera	NN
arquero	NN
arquetipo	NN
arquitecto	NN
arquitectura	NN
arrancar	VB
arrastrar	VB
arrastrarse	VB
arrecife	NN
arreglar	VB
arremeter	VB
arrepentimiento	NN
arrepentirse	VB
arrestar	VB
arriba	RB
arriesgar	VB
arroba	NN
arrodillarse	VB
arrogancia	NN
arroyo	NN
arroz	NN
arruga	NN
arrugar	VB
arrugarse	VB
arsénico	NN
arte	NN
arteria	NN
artes	NNS
artesanal	JJ
artesanía	NN
ártica	JJ
ártico	JJ
articulación	NN
artículo	NN
artista	NN
artistica	JJ
artístico	JJ
artritis	NN
artrópodo	NN
asador	NN
asamblea	NN
asbesto	NN
ascendencia	NN
ascender	VB
ascenso	NN
ascensor	NN
asesina	NN
asesinato	NN
asesino	NN
asfixiar	VB
así	RB
Asia	NNP
asiático	JJ
asiento	NN
asilo	NN
asistente	NN
asistir a	VB
asno	NN
asociación	NN
asomar	VB
asombrar	VB
asombrosa	JJ
asombroso	JJ
aspecto	NN
aspiradora	NN
aspirina	NN
asta	NN
ástaco	NN
ástato	NN
asterisco	NN
astilla	NN
astro	NN
astrología	NN
astronauta	NN
astrónoma	NN
astronomía	NN
astrónomo	NN
asumir	VB
asunto	NN
asustada	JJ
asustadiza	JJ
asustadizo	JJ
asustado	JJ
asustar	VB
atacar	VB
ataque	NN
atar	VB
atardecer	NN
atascar	VB
atasco	NN
atea	JJ
ateísmo	NN
atender	VB
atenta	JJ
atentado	NN
atento	JJ
ateo	JJ
aterrizar	VB
atestiguar	VB
atlántico	JJ
atletismo	NN
atmósfera	NN
atómica	JJ
atómico	JJ
atomizador	NN
átomo	NN
atractiva	JJ
atractivo	JJ
atraer	VB
atrapar	VB
atravesar	VB
atreverse	VB
atrevida	JJ
atrevido	JJ
atribuir	VB
atropellada	JJ
atropellado	JJ
atropellar	VB
atroz	JJ
atún	NN
auditorio	NN
auge	NN
aumentar	VB
aumento	NN
aún	RB
aura	NN
auricular	NN
auriculares	NNS
ausencia	NN
Australia	NNP
australiana	JJ
australiano	JJ
autobiografía	NN
autobús	NN
autodefensa	NN
autoestima	NN
autografiar	VB
autógrafo	NN
autómata	NN
automática	JJ
automático	JJ
autonomía	NN
autopista	NN
autopsia	NN
autoridad	NN
autorretrato	NN
avalancha	NN
avance	NN
avanzada	JJ
avanzado	JJ
avanzar	VB
avenida	NN
avergonzada	JJ
avergonzado	JJ
avergonzar	VB
averiguar	VB
aves	NN
avestruz	NN
aviador	NN
aviadora	NN
avión	NN
axila	NN
ayer	RB
ayuda	NN
ayudante	NN
ayudar	VB
azotar	VB
azúcar	NN
azufre	NN
azúl	JJ
azulejo	NN
babuino	NN
bacalao	NN

bacterium	NN
bádminton	NN
bailar	VB
bailarín	NN
bailarina	NN
baile	NN
baja	JJ
bajar	VB
bajo	JJ
bala	NN
balanza	NN
balbucear	VB
balcón	NN
balde	NN
ballena	NN
balompié	NN
balón	NN
baloncesto	NN
balonmano	NN
balsa	NN
bálsamo	NN
baluarte	NN
bambú	NN
bañador	NN
bañar	VB
bañarse	VB
banca	NN
banco	NN
banda	NN
bandana	NN
bandeja	NN
bandera	NN
banjo	NN
baño	NN
banquera	NN
banquero	NN
banquete	NN
baranda	NN
barandilla	NN
barata	JJ
barato	JJ
barba	NN
barbacoa	NN
barco	NN
bario	NN
barítono	NN
barra	NN
barrer	VB
barriga	NN
barrio	NN
barro	NN
barroca	JJ
barroco	JJ
base	NN
básica	JJ
básicamente	RB
básico	JJ
básquetbol	NN
basquetbolista	NN
bastante	RB
bastar	VB
bastión	NN
basura	NN
bata	NN
batalla	NN
batata	NN
batazo	NN
bate	NN
bateador	NN
batería	NN
baterista	NN
batido	NN
batir	VB
Batman	NN
baúl	NN
bautizar	VB
bayoneta	NN
bazo	NN
bazofia	NN
bazuca	NN
bebé	NN
bebedero	NN
beber	VB
bebida	NN
beicon	NN
beige	JJ
beis	JJ
béisbol	NN
beisbolista	NN
bella	JJ
bello	JJ
bendecir	VB
beneficiar	VB
beneficio	NN
benévola	JJ
benévolo	JJ
benigna	JJ
benigno	JJ
berenjena	NN
berilio	NN
besarse	VB
bestia	NN
biatlón	NN
Biblia	NNP
bibliografía	NN
biblioteca	NN
bibliotecaria	NN
bibliotecario	NN
bicentenario	NN
bicho	NN
bicicleta	NN
bien	RB
bienes	NN
bienestar	NN
bigote	NN
bigotes	NNS
bilingüe	JJ
billetera	NN
billón	JJ
bingo	NN
biodiversidad	NN
biología	NN
biológica	JJ
biológico	JJ
bis	NN
bisabuela	NN
bisabuelo	NN
bisagra	NN
bismuto	NN
bisnieta	NN
bisnieto	NN
bisonte	NN
bistec	NN
bizcocho	NN
blanca	JJ
blanco	JJ
blanda	JJ
blando	JJ
blanqueador	NN
blanquear	VB
blindaje	NN
bloc	NN
bloque	NN
blues	NN
blusa	NN
bobsleigh	NN
boca	NN
bocadillo	NN
bocina	NN
bocinazo	NN
boda	NN
bodega	NN
bola	NN
boletería	NN
boleto	NN
bolígrafo	NN
bolillo	NN
Bolivia	NNP
boliviana	JJ
boliviano	JJ
bolos	NNS
bolsa	NN
bolsillo	NN
bolso	NN
bomba	NN
bombera	NN
bombero	NN
bombillo	NN
bonachón	NN
bondad	NN
boñiga	NN
bonita	JJ
bonito	JJ
borde	NN
borla	NN
boro	NN
borrador	NN
borrar	VB
borrosa	JJ
borroso	JJ
bosque	NN
bosta	NN
bostezar	VB
bota	NN
botánica	NN
bote	NN
botella	NN
botín	NN
botiquín	NN
botón	NN
bóveda	NN
boxeo	NN
bozal	NN
branquia	NN
Brasil	NNP
brazo	NN
brecha	NN
brécol	NN
Bretaña	NNP
brillante	JJ
brillar	VB
brillo	NN
brincar	VB
brinco	NN
brío	NN
británica	JJ
británico	JJ
broche	NN
bróculi	NN
broma	NN
bromista	NN
bromo	NN
bronca	JJ
bronce	NN
bronceador	NN
bronco	JJ
brotar	VB
brote	NN
bruja	NN
brujería	NN
brujo	NN
brújula	NN
brutal	JJ
bucear	VB
buen	JJ
buena	JJ
bueno	JJ
buey	NN
búfalo	NN
bufanda	NN
búho	NN
buitre	NN
bujía	NN
buldog	NN
burbuja	NN
burbujear	VB
burda	JJ
burdo	JJ
burla	NN
burlarse	VB
burlas	NNS
burrito	NN
burro	NN
busardo	NN
buscar	VB
butaca	NN
butano	NN
buzo	NN
buzón	NN
cabalgar	VB
caballeriza	NN
caballero	NN
caballete	NN
caballo	NN
cabaña	NN
cabello	NN
caber	VB
cabeza	NN
cabezada	NN
cabina	NN
cable	NN
cabo	NN
cabra	NN
cabriolar	VB
caca	NN
cacahuete	NN
cacao	NN
cacerola	NN
cachucha	NN
cacique	NN
cacto	NN
cada	JJ
cadena	NN
cadera	NN
cadmio	NN
caducar	VB
caerse	VB
café	NN
cafeína	NN
cafetería	NN
caimán	NN
caja	NN
calcio	NN
calcular	VB
calendario	NN
cálida	JJ
cálido	JJ
calificar	VB
callada	JJ
callado	JJ
calurosa	JJ
caluroso	JJ
calzoncillos	NNS
calzones	NNS
cama	NN
cámara	NN
camarera	NN
camarero	NN
camarilla	NN
camarón	NN
camarones	NNS
cambiar	VB
cambio	NN
camello	NN
camilla	NN
caminar	VB
caminata	NN
camino	NN
camión	NN
camioneta	NN
camisa	NN
camiseta	NN
camisón	NN
campamento	NN
campana	NN
campaña	NN
campanario	NN
campanilla	NN
campeón	NN
campeona	NN
campeonato	NN
campesina	NN
campesino	NN
campo	NN
campocorto	NN
camuflaje	NN
camuflajear	VB
camuflar	VB
caña	NN
Canadá	NNP
canadiense	JJ
canal	NN
canario	NN
canasta	NN
cancelar	VB
cáncer	NN
cancha	NN
canción	NN
candidata	NN
candidato	NN
canela	NN
cangrejo	NN
canguro	NN
caníbal	NN
canilla	NN
canina	JJ
canino	JJ
canoa	NN
cañón	NN
cansada	JJ
cansado	JJ
cansar	VB
cantante	NN
cantar	VB
cantarín	NN
cantarina	NN
cántaro	NN
cantidad	NN
cantor	NN
cantora	NN
caoba	NN
caos	NN
capacidad	NN
caparazón	NN
capaz	JJ
capilar	NN
capilla	NN
capirote	NN
capital	NN
capitán	NN
capitana	NN
capítulo	NN
capó	NN
capricornio	NN
capucha	NN
caqui	JJ
cara	NN
caracol	NN
característica	NN
carámbano	NN
caramelo	NN
carbohidrato	NN
carbono	NN
carburador	NN
carcayú	NN
cárcel	NN
carcelera	NN
carcelero	NN
cardenal	NN
cárdigan	NN
cardióloga	NN
cardiólogo	NN
carga	NN
cargar	VB
caribú	NN
caricatura	NN
caricaturizar	VB
caricia	NN
caridad	NN
caries	NN
cariño	NN
cariñosa	JJ
cariñoso	JJ
caritativa	JJ
caritativo	JJ
carmesí	JJ
carnada	NN
carne	NN
carnicería	NN
caro	JJ
carpeta	NN
carpintera	NN
carpintero	NN
carrera	NN
carreta	NN
carretera	NN
carretilla	NN
carro	NN
carroza	NN
carrusel	NN
carta	NN
cartel	NN
cartera	NN
cartero	NN
cartílago	NN
cartón	NN
cartucho	NN
casa	NN
casarse	VB
cascabel	NN
cascar	VB
cáscara	NN
cascarrabias	JJ
casco	NN
casete	NN
casi	RB
casino	NN
castaña	JJ
castaño	JJ
castigar	VB
castigo	NN
castillo	NN
castor	NN
casual	JJ
casuario	NN
catálogo	NN
catarata	NN
catarina	NN
catarro	NN
catear	VB
catedral	NN
catedrática	NN
catedrático	NN
categoría	NN
católica	JJ
Catolicismo	NN
católico	JJ
catorce	JJ
caucho	NN
causa	NN
causar	VB
cautivante	JJ
cavar	VB
cavidad	NN
caza	NN
cazador	NN
cazadora	NN
cazar	VB
cazuela	NN
cebo	NN
cebolla	NN
cebra	NN
cecina	NN
ceder	VB
cedro	NN
ceja	NN
celador	NN
celadora	NN
celda	NN
celebración	NN
celebrar	VB
célebre	NN
celebridad	NN
celeste	JJ
celo	NN
celos	NNS
celosa	JJ
celoso	JJ
cementerio	NN
cemento	NN
cena	NN
cenar	VB
cencerro	NN
cenicienta	JJ
ceniciento	JJ
ceño	NN
censura	NN
centenario	NN
centígrada	JJ
centígrado	JJ
centímetro	NN
centro	NN
Centroamérica	NNP
centroamericana	JJ
centroamericano	JJ
centrocampista	NN
cepillo	NN
cera	NN
ceramista	NN
cerca	IN
cercanía	NN
cercanías	NNS
cerdo	NN
cereal	NN
cerebro	NN
ceremonia	NN
cereza	NN
cerezo	NN
cerio	NN
cero	JJ
cerradura	NN
cerrar	VB
cerro	NN
certera	JJ
certero	JJ
cervecería	NN
cerveza	NN
cesar	VB
cesio	NN
césped	NN
cesta	NN
cestería	NN
chaleco	NN
champán	NN
champaña	NN
champiñon	NN
champú	NN
chancho	NN
chancla	NN
chandal	NN
chapa	NN
chaqueta	NN
chaquetón	NN
charca	NN
charlar	VB
charqui	NN
chasquear	VB
chayote	NN
cheque	NN
chequera	NN
chequere	NN
chicle	NN
chiflar	VB
chiflido	NN
chile	NN
chilena	JJ
chileno	JJ
chillar	VB
chillido	NN
chillón	JJ
chillona	JJ
chimenea	NN
chimpancé	NN
China	NNP
china	JJ
China	NNP
chinche	NN
chincheta	NN
chinela	NN
chino	JJ
chip	NN
chisme	NN
chismorrear	VB
chismorreo	NN
chismosa	NN
chismoso	NN
chispa	NN
chiste	NN
chocar	VB
chocolate	NN
choque	NN
chorizo	NN
chovinismo	NN
chovinista	NN
choza	NN
chupar	VB
chupete	NN
chupón	NN
churro	NN
cicatriz	NN
ciclismo	NN
ciclista	NN
ciclo	NN
cíclope	NN
ciega	JJ
ciego	JJ
cielo	NN
ciempiés	NN
cien	JJ
ciénaga	NN
ciencias	NNS
científica	NN
científico	NN
cierta	JJ
ciertamente	RB
cierto	JJ
cifra	NN
cifrar	VB
cigüeña	NN
cilantro	NN
cilindro	NN
címbalo	NN
cinc	NN
cincel	NN
cinco	JJ
cincuenta	JJ
cine	NN
cineasta	NN
cinta	NN
cinto	NN
cintura	NN
cinturón	NN
circo	NN
círculo	NN
ciruela	NN
cirugía	NN
cirujana	NN
cirujano	NN
cisne	NN
cita	NN
citación	NN
citar	VB
ciudad	NN
ciudadana	NN
ciudadanía	NN
ciudadano	NN
civil	JJ
civilización	NN
clan	NN
clara	JJ
claramente	RB
clarinete	NN
clarinetista	NN
claro	JJ
clase	NN
clásica	JJ
clásico	JJ
clasificar	VB
claustro	NN
clave	JJ
clavel	NN
claves	NNS
clavícula	NN
clavo	NN
claxon	NN
clienta	NN
cliente	NN
clínica	NN
cloaca	NN
cloro	NN
club	NN
coagularse	VB
cobalto	NN
cobaya	NN
cobre	NN
cocaína	NN
coche	NN
cocina	NN
cocinar	VB
cocinera	NN
cocinero	NN
coco	NN
cocodrilo	NN
cocotero	NN
codera	NN
codiciosa	JJ
codicioso	JJ
código	NN
codo	NN
codorniz	NN
coeficiente	NN
coger	VB
cohete	NN
coja	JJ
cojear	VB
cojer	VB
cojera	NN
cojín	NN
cojinete	NN
cojo	JJ
col	NN
cola	NN
colaborar	VB
colchón	NN
colección	NN
coleccionar	VB
coleccionista	NN
colega	NN
colegio	NN
colegir	VB
colérica	JJ
colérico	JJ
colgar	VB
colibrí	NN
coliflor	NN
colina	NN
colisionar	VB
collar	NN
collarín	NN
colmada	JJ
colmado	JJ
colmar	VB
colmillo	NN
Colombia	NNP
colombiana	JJ
colombiano	JJ
colon	NN
colona	NN
colonia	NN
colono	NN
color	NN
colorido	NN
columna	NN
columpio	NN
coma	NN
comadreja	NN
combinación	NN
combinar	VB
combustible	NN
comedia	NN
comedor	NN
comején	NN
comentar	VB
comentario	NN
comenzar	VB
comer	VB
comerciante	NN
comerciar	VB
comercio	NN
comestibles	NNS
cometa	NN
cometer	VB
cómica	JJ
cómico	JJ
comida	NN
comienzo	NN
comillas	NNS
cómo	WRB
cómoda	JJ
comodín	NN
cómodo	JJ
compañera	NN
compañero	NN
compañía	NN
comparar	VB
compartir	VB
compás	NN
compasión	NN
compasiva	JJ
compasivo	JJ
competencia	NN
competir	VB
complacer	VB
compleja	JJ
complejidad	NN
complejo	JJ
completamente	RB
completar	VB
complicada	JJ
complicado	JJ
componer	VB
comportamiento	NN
composición	NN
compositor	NN
compositora	NN
comprar	VB
comprender	VB
comprensiva	JJ
comprensivo	JJ
compresa	NN
comprimir	VB
comprobar	VB
comprometer	VB
comprometerse	VB
compuerta	NN
compuesta	JJ
compuesto	JJ
computadora	NN
común	JJ
comunicar	VB
comunidad	NN
comunión	NN
comunismo	NN
comunista	JJ
con	IN
conceder	VB
concentrar	VB
concepto	NN
concha	NN
conciencia	NN
concierto	NN
concluir	VB
conclusión	NN
concreta	JJ
concreto	JJ
concusión	NN
condado	NN
conde	NN
condenar	VB
condensar	VB
condesa	NN
condimentos	NNS
cóndor	NN
conducir	VB
conducta	NN
conductor	JJ
conductora	JJ
conectar	VB
conejito	NN
conejo	NN
conexión	NN
confesar	VB
confiable	JJ
confiada	JJ
confiado	JJ
confianza	NN
confiar	VB
conflicto	NN
confundir	VB
confundirse	VB
conga	NN
congelación	NN
congelada	JJ
congelado	JJ
congelar	VB
congresista	NN
Congreso	NNP
conmigo	RB
conmovedor	JJ
conmovedora	JJ
conmover	VB
cono	NN
conocer	VB
conquistador	NN
conquistar	VB
conseguir	VB
consejera	NN
consejero	NN
consejo	NN
consejos	NNS
consentida	JJ
consentido	JJ
conservar	VB
considerablemente	RB
consideración	NN
considerado	JJ
considerar	VB
consigna	NN
consigo	RB
consolador	NN
consoladora	NN
constante	JJ
constantemente	RB
constelación	NN
consternación	NN
constitución	NN
constitucional	JJ
constituir	VB
construcción	NN
construir	VB
consultiva	JJ
consultivo	JJ
consumir	VB
contacto	NN
contador	NN
contadora	NN
contaminación	NN
contaminar	VB
contar	VB
contemporánea	JJ
contemporáneo	JJ
contenedor	NN
contener	VB
contenta	JJ
contentar	VB
contento	JJ
contestar	VB
contigo	RB
continental	JJ
continente	NN
continuar	VB
contra	IN
contrabajo	NN
contrabando	NN
contradecir	VB
contraponer	VB
contraseña	NN
contratar	VB
contratista	NN
contraventana	NN
contribución	NN
contribuir	VB
contribuyente	NN
control	NN
controlar	VB
controvertida	JJ
controvertido	JJ
controvertir	VB
convencer	VB
convención	NN
conveniente	JJ
convenir	VB
conversa	NN
conversación	NN
conversar	VB
converso	NN
convertible	JJ
convertir	VB
convertirse	VB
convincente	JJ
convivir	VB
convocar	VB
cooperación	NN
coordinador	NN
coordinadora	NN
copia	NN
copiar	VB
coraje	NN
coral	NN
Corán	NNP
corazón	NN
corbata	NN
corchetes	NNS
cordel	NN
cordero	NN
cordillera	NN
cordón	NN
Corea	NNP
coreografía	NN
corneta	NN
coro	NN
corona	NN
corporal	JJ
corporativa	JJ
corporativo	JJ
corral	NN
correa	NN
corrección	NN
correcta	JJ
correcto	JJ
corredor	NN
corredora	NN
corregir	VB
correo	NN
correr	VB
correspondencia	NN
corresponderse	VB
corresponsal	NN
corriente	JJ
corromper	VB
corrupción	NN
corrupta	JJ
corrupto	JJ
corta	JJ
cortar	VB
cortarse	VB
corte	NN
cortés	JJ
corteza	NN
cortina	NN
corto	JJ
cosa	NN
cosecha	NN
coser	VB
cosido	NN
cosmos	NN
cosquilleo	NN
cosquillosa	JJ
cosquilloso	JJ
costa	NN
costado	NN
costar	VB
costarricense	JJ
costilla	NN
costosa	JJ
costoso	JJ
costumbre	NN
costumbrista	JJ
costura	NN
costurar	VB
cotidiana	JJ
cotidiano	JJ
coyote	NN
crack	NN
cráneo	NN
crayola	NN
crayón	NN
creación	NN
creador	NN
creadora	NN
crear	VB
creativa	JJ
creativo	JJ
crecer	VB
crecimiento	NN
crédito	NN
creencia	NN
creer	VB
cremallera	NN
crepuscular	JJ
crepúsculo	NN
creyente	NN
criar	VB
criarse	VB
criatura	NN
crimen	NN
criminal	NN
criolla	JJ
criollo	JJ
crisantemo	NN
cristiana	JJ
cristianismo	NN
cristiano	JJ
crítica	JJ
criticar	VB
crítico	JJ
cromo	NN
cruce	NN
crucero	NN
crucificar	VB
crucifixión	NN
cruda	JJ
crudo	JJ
crujiente	JJ
crujir	VB
crustáceo	NN
cruz	NN
cruzar	VB
cuaderno	NN
cuadra	NN
cuadrangular	NN
cuadro	NN
cuádruple	JJ
cuadruplicar	VB
cuadruplicarse	VB
Cual	RB
cuál	WP
cualidad	NN
cualitativa	JJ
cualitativo	JJ
cualquier	RB
cuándo	WRB
Cuántas	RB
Cuántos	RB
cuarenta	JJ
cuarta	JJ
cuarto	JJ
cuata	NN
cuate	NN
cuatro	JJ
cuatrocientas	JJ
cuatrocientos	JJ
Cuba	NNP
cubana	JJ
cubano	JJ
cubierta	NN
cubismo	NN
cubito	NN
cubo	NN
cubrir	VB
cucaracha	NN
cuchara	NN
cuchillo	NN
cueca	NN
cuello	NN
cuenco	NN
cuenta	NN
cuentista	NN
cuento	NN
cuerda	NN
cuero	NN
cuerpo	NN
cuervo	NN
cueva	NN
cuidadosa	JJ
cuidadosamente	RB
cuidadoso	JJ
cuidar	VB
culebra	NN
culminar	VB
culpable	JJ
culpar	VB
cultivar	VB
cultivo	NN
culto	NN
cultura	NN
cultural	JJ
cumbia	NN
cumpleaños	NN
cuna	NN
cuñada	NN
cuñado	NN
cuota	NN
cúpola	NN
cupón	NN
cura	NN
curandera	NN
curandero	NN
curar	VB
curiosa	JJ
curioso	JJ
curita	NN
curling	NN
cursivo	NN
cursor	NN
curva	NN
dada	JJ
dado	JJ
daga	NN
dama	NN
damas	NN
dañar	VB
dañina	JJ
dañino	JJ
danzanta	NN
danzante	NN
danzón	NN
dar	VB
dardo	NN
Daredevil	NNP
datos	NN
de	IN
de vainilla	NN
debajo	IN
deber	VB
débil	JJ
debilucha	NN
debilucho	NN
década	NN
decadencia	NN
decatlón	NN
decente	JJ
decidir	VB
décima	JJ
decimal	JJ
décimo	JJ
decimocuarta	JJ
decimocuarto	JJ
decimotercera	JJ
decimotercero	JJ
decir	VB
decisiva	JJ
decisivo	JJ
decoración	NN
decorar	VB
decorativa	JJ
decorativo	JJ
dedal	NN
